spread_id,state,category,item_name,item_identifier,variant,marketplace,marketplace_url,marketplace_price,marketplace_price_type,source_name,source_url,source_price,currency,gross_spread_amount,gross_spread_pct,estimated_fees,estimated_net_margin,spread_observation_count,first_seen,last_checked,source_availability,marketplace_demand_signal,confidence_score,risk_score,policy_rights_status,risk_notes,public_card_summary,internal_notes,time_sensitive,expiry_type,expiry_at,hours_to_expiry,expiry_value_status,urgency_level
SPRD-001,LIVE,Trainers,Nike Air Max 95,sample/research,UK size 8,Marketplace research placeholder,https://www.ebay.co.uk/,120,observed/research,Source check placeholder,https://example.com/source-check-required,89,GBP,31.00,25.8,fees TBD,estimate requires verification,1,2026-06-27,2026-06-27 21:45,check required,demand evidence required,67,medium,check required,"Stock, size, authenticity and final fees must be verified before action.",Live sample spread-information card for EP038 MVP; verify before action.,sample/research record,yes,auction_close,2026-06-28T18:00:00,20,expiring_soon,high
SPRD-002,WATCHING,Trainers,Adidas Samba OG,sample/research,UK size 9,Marketplace research placeholder,https://www.ebay.co.uk/,95,observed/research,Source check placeholder,https://example.com/source-check-required,72,GBP,23.00,24.2,fees TBD,estimate requires verification,1,2026-06-27,2026-06-27 21:45,check required,demand evidence required,58,medium,check required,Spread needs repeat observation and source-stock confirmation.,Watching sample spread-information card for EP038 MVP; verify before action.,sample/research record,yes,stock_limited,2026-06-29T09:00:00,35,active,medium
SPRD-003,DISCOVERED,Electronics,Wireless noise-cancelling headphones,sample/research,new/open box,Marketplace research placeholder,https://www.ebay.co.uk/,140,observed/research,Source check placeholder,https://example.com/source-check-required,105,GBP,35.00,25.0,fees TBD,estimate requires verification,1,2026-06-27,2026-06-27 21:45,check required,demand evidence required,54,medium-high,check required,"Exact model, warranty and returns policy must match.",Discovered sample spread-information card for EP038 MVP; verify before action.,sample/research record,no,,,,,low
SPRD-004,LIVE,Domains,examplelocalleads.com,sample/research,.com domain,Marketplace research placeholder,https://www.ebay.co.uk/,350,observed/research,Source check placeholder,https://example.com/source-check-required,12,GBP,338.00,96.6,fees TBD,estimate requires verification,1,2026-06-27,2026-06-27 21:45,check required,demand evidence required,41,medium-high,check required,No trademark/comps/liquidity verification yet.,Live sample spread-information card for EP038 MVP; verify before action.,sample/research record,yes,domain_closeout,2026-06-28T12:00:00,14,expiring_soon,high
SPRD-005,WATCHING,Domains,findcircuit.com,sample/research,.com domain,Marketplace research placeholder,https://www.ebay.co.uk/,TBD,observed/research,Source check placeholder,https://example.com/source-check-required,reg fee TBD,GBP,,,fees TBD,estimate requires verification,1,2026-06-27,2026-06-27 21:45,check required,demand evidence required,35,medium,check required,Process-test only; availability and comps not validated.,Watching sample spread-information card for EP038 MVP; verify before action.,sample/research record,yes,domain_closeout,,,unknown,medium
SPRD-006,EXPIRED,Homeware,Countertop kitchen appliance,sample/research,new,Marketplace research placeholder,https://www.ebay.co.uk/,80,observed/research,Source check placeholder,https://example.com/source-check-required,55,GBP,25.00,31.3,fees TBD,estimate requires verification,1,2026-06-27,2026-06-27 21:45,check required,demand evidence required,30,high,check required,Source no longer available; keep as trust-building expired example.,Expired sample spread-information card for EP038 MVP; verify before action.,sample/research record,yes,source_sale_end,2026-06-27T12:00:00,0,expired,low
SPRD-007,AVOID,Digital products,Unauthorised software licence key,sample/research,digital delivery,Marketplace research placeholder,https://www.ebay.co.uk/,45,observed/research,Source check placeholder,https://example.com/source-check-required,20,GBP,25.00,55.6,fees TBD,estimate requires verification,1,2026-06-27,2026-06-27 21:45,check required,demand evidence required,10,very-high,check required,Policy/licence risk kills the spread even if headline margin looks high.,Avoid sample spread-information card for EP038 MVP; verify before action.,sample/research record,no,,,,,low
SPRD-008,DISCOVERED,Digital templates,Resale-rights business template bundle,sample/research,digital download,Marketplace research placeholder,https://www.ebay.co.uk/,29,observed/research,Source check placeholder,https://example.com/source-check-required,9,GBP,20.00,69.0,fees TBD,estimate requires verification,1,2026-06-27,2026-06-27 21:45,check required,demand evidence required,38,high,check required,Only viable if resale rights and platform listing rules are explicit.,Discovered sample spread-information card for EP038 MVP; verify before action.,sample/research record,no,,,,,medium
SPRD-009,COOLING,Fashion,Designer cap/accessory,sample/research,new with tags,Marketplace research placeholder,https://www.ebay.co.uk/,65,observed/research,Source check placeholder,https://example.com/source-check-required,54,GBP,11.00,16.9,fees TBD,estimate requires verification,1,2026-06-27,2026-06-27 21:45,check required,demand evidence required,46,medium,check required,Spread below target after fees; watching but not strong.,Cooling sample spread-information card for EP038 MVP; verify before action.,sample/research record,yes,listing_turnover_risk,2026-06-28T21:00:00,23,expiring_soon,medium
SPRD-010,LIVE,Collectibles,Limited trading card/collectible,sample/research,near mint,Marketplace research placeholder,https://www.ebay.co.uk/,70,observed/research,Source check placeholder,https://example.com/source-check-required,48,GBP,22.00,31.4,fees TBD,estimate requires verification,1,2026-06-27,2026-06-27 21:45,check required,demand evidence required,60,high,check required,"Condition, authenticity and platform transfer rules matter.",Live sample spread-information card for EP038 MVP; verify before action.,sample/research record,yes,auction_close,2026-06-28T06:00:00,8,expiring_soon,critical
